15/11/2016, 23:24:17,105500000,108000000,78125,941312, -1.#J, -1.#J, -1.#J,-41.85,-31.57,-38.43, -1.#J,-30.56, -1.#J,-34.35,-31.35, -1.#J,-30.68, -1.#J,-32.91,-30.73,-30.85,-30.85, -1.#J,-37.1, -1.#J,-34.76, -1.#J, -1.#J, -1.#J,-31.09,-37.31,-33.35, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2016, 23:54:17,88000000,90500000,78125,943872,-32.28,-31.67, -1.#J, -1.#J,-39.29, -1.#J, -1.#J, -1.#J, -1.#J,-32.04, -1.#J, -1.#J,-36.89,-33.66,-35.92, -1.#J,-33.09,-33.09,-31.67,-38.88, -1.#J, -1.#J,-31.36,-37.74,-30.69, -1.#J, -1.#J, -1.#J, -1.#J,-38.46,-30.79,-32.76,-32.76
15/11/2016, 23:54:17,90500000,93000000,78125,943872,-47.16, -1.#J,-32.7,-35.98,-32.21, -1.#J, -1.#J,-30.73, -1.#J,-30.89,-35.26,-32.18, -1.#J,-32.91, -1.#J, -1.#J,-32.12,-32.12, -1.#J, -1.#J, -1.#J, -1.#J,-43.19,-31.05,-36.25, -1.#J, -1.#J,-36.16,-32.63, -1.#J,-31.87, -1.#J, -1.#J
15/11/2016, 23:54:17,93000000,95500000,78125,943872,-34.32, -1.#J, -1.#J,-31.3,-34.39,-34.09,-38.29,-39.01,-32.19,-31.36,-30.98,-38.78,-39.98, -1.#J, -1.#J,-34.54,-36.43,-36.43, -1.#J, -1.#J,-32.95, -1.#J, -1.#J, -1.#J, -1.#J,-31.11,-30.69,-31.07,-34.81,-33.15,-32.89, -1.#J, -1.#J
15/11/2016, 23:54:17,95500000,98000000,78125,943872,-32.51,-31.53, -1.#J, -1.#J,-40.94,-31.12,-44.4,-30.63,-39.09,-31.09, -1.#J, -1.#J, -1.#J, -1.#J,-49.66, -1.#J,-35.81,-35.81, -1.#J,-31.63,-34.1,-40.8,-34.34, -1.#J,-35.6,-39.6, -1.#J, -1.#J, -1.#J, -1.#J,-31.67, -1.#J, -1.#J
15/11/2016, 23:54:17,98000000,100500000,78125,943872, -1.#J,-38.32,-36.67, -1.#J,-49.09, -1.#J, -1.#J,-35.41,-32.18,-40.5,-30.61,-31.5, -1.#J, -1.#J, -1.#J,-33.91,-38.55,-38.55, -1.#J,-38.59,-34.92, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J,-31.5,-36.49,-45.85,-32.21,-48.14,-33.15,-33.15
15/11/2016, 23:54:17,100500000,103000000,78125,943872,-31.43, -1.#J, -1.#J,-35.28,-35.49,-38.7,-30.44, -1.#J, -1.#J, -1.#J,-36.27,-31.53, -1.#J,-33.19, -1.#J,-32.5, -1.#J, -1.#J,-33.08, -1.#J, -1.#J, -1.#J, -1.#J,-36.64,-30.74, -1.#J,-37.81, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
15/11/2016, 23:54:17,103000000,105500000,78125,943872, -1.#J, -1.#J, -1.#J, -1.#J,-33.47, -1.#J,-42.59,-34.51,-34.74,-30.59, -1.#J,-31.49,-34.94,-35.05, -1.#J,-37.85,-30.46,-30.46,-33.88, -1.#J,-32.88, -1.#J,-36.06, -1.#J, -1.#J,-30.55,-31.23, -1.#J,-34.37,-34.3, -1.#J, -1.#J, -1.#J
15/11/2016, 23:54:17,105500000,108000000,78125,943872, -1.#J, -1.#J, -1.#J, -1.#J,-33.81, -1.#J, -1.#J,-30.66, -1.#J,-35.28,-36.47, -1.#J,-30.67, -1.#J, -1.#J,-33.95, -1.#J, -1.#J,-32.1,-33.26, -1.#J, -1.#J, -1.#J,-39.11, -1.#J,-35.73, -1.#J, -1.#J, -1.#J,-33.31, -1.#J,-32.68,-32.68
