2016-11-15, 22:11:24, 103000000, 105500000, 78125.00, 5376, -1.#J, -13.58, -18.12, -9.44, -19.71, -1.#J, -1.#J, -9.32, -1.#J, -9.79, -1.#J, -13.95, -17.50, -1.#J, -9.19, -8.46, -10.64, -10.64, -1.#J, -1.#J, -10.89, -14.33, -9.27, -1.#J, -9.14, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.59, -1.#J, -1.#J
2016-11-15, 22:11:24, 105500000, 108000000, 78125.00, 5376, -11.10, -1.#J, -1.#J, -14.68, -10.12, -8.71, -11.52, -1.#J, -49.65, -1.#J, -1.#J, -24.44, -1.#J, -14.55, -36.34, -15.54, -13.25, -13.25, -1.#J, -8.68, -8.46, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -16.97, -11.36, -1.#J, -14.63, -11.29, -11.29
2016-11-15, 22:11:34, 88000000, 90500000, 78125.00, 5120, -1.#J, -9.17, -14.05, -10.93, -1.#J, -1.#J, -12.04, -9.81, -1.#J, -1.#J, -1.#J, -8.81, -1.#J, -16.10, -11.56, -1.#J, -15.55, -15.55, -12.14, -11.74, -7.89, -8.12, -1.#J, -11.89, -1.#J, -1.#J, -1.#J, -15.77, -1.#J, -10.51, -15.06, -1.#J, -1.#J
2016-11-15, 22:11:34, 90500000, 93000000, 78125.00, 5120, -13.66, -11.45, -12.01, -9.76, -11.86, -9.81, -11.58, -16.08, -1.#J, -1.#J, -1.#J, -13.35, -1.#J, -17.20, -8.28, -1.#J, -1.#J, -1.#J, -11.33, -1.#J, -12.79, -1.#J, -22.23, -15.93, -1.#J, -1.#J, -11.48, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:34, 93000000, 95500000, 78125.00, 5120, -9.44, -1.#J, -1.#J, -7.82, -17.90, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -15.41, -1.#J, -1.#J, -1.#J, -12.73, -8.11, -8.11, -1.#J, -10.55, -10.60, -8.35, -1.#J, -1.#J, -19.65, -1.#J, -1.#J, -1.#J, -1.#J, -16.21, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:34, 95500000, 98000000, 78125.00, 5120, -1.#J, -21.70, -14.41, -10.40, -8.14, -1.#J, -9.03, -10.98, -1.#J, -14.33, -8.05, -7.85, -1.#J, -8.93, -1.#J, -1.#J, -13.22, -13.22, -1.#J, -12.33, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -10.64, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:34, 98000000, 100500000, 78125.00, 5120, -8.32, -1.#J, -1.#J, -9.43, -10.20, -8.31, -9.78, -1.#J, -1.#J, -8.00, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -11.37, -1.#J, -1.#J, -1.#J, -26.58, -8.82, -9.14, -11.76, -10.68, -1.#J, -12.17, -12.12, -30.11, -1.#J, -1.#J
2016-11-15, 22:11:34, 100500000, 103000000, 78125.00, 5120, -1.#J, -1.#J, -12.67, -12.52, -1.#J, -12.46, -19.51, -1.#J, -1.#J, -1.#J, -8.93, -21.47, -16.55, -10.02, -8.70, -8.91, -1.#J, -1.#J, -9.75, -1.#J, -13.08, -8.28, -9.34, -1.#J, -1.#J, -9.46, -14.05, -14.01, -1.#J, -7.97, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:34, 103000000, 105500000, 78125.00, 5120, -1.#J, -13.74, -1.#J, -10.03, -15.06, -1.#J, -1.#J, -11.89, -1.#J, -11.00, -1.#J, -16.46, -15.96, -9.72, -14.46, -11.75, -11.40, -11.40, -1.#J, -1.#J, -11.19, -16.40, -10.81, -1.#J, -1.#J, -9.30, -7.80, -1.#J, -1.#J, -1.#J, -10.38, -1.#J, -1.#J
2016-11-15, 22:11:34, 105500000, 108000000, 78125.00, 5120, -11.89, -1.#J, -9.89, -1.#J, -15.32, -12.46, -16.53, -8.53, -1.#J, -10.76, -1.#J, -1.#J, -1.#J, -10.24, -19.33, -1.#J, -1.#J, -1.#J, -1.#J, -10.80, -13.48, -1.#J, -1.#J, -1.#J, -10.64, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -21.41, -12.82, -12.82
